,ticker,name,sector,industry,market_cap,exchange,country_code
0,A,"Agilent Technologies, Inc. ",Computer and Technology,ELECTRONICS,37282000896.0,NYSE,United States
1,AA,Alcoa Corporation ,Industrial Products,METALS FABRICATING,4540000256.0,NYSE,United States
2,AAAP, ,Medical,DRUGS,,NSDQ,France
3,AACG,ATA Creativity Global ,Consumer Discretionary,OTHER CONS DISC,154244000.0,NSDQ,China
4,AACQ,Artius Acquisition Inc. ,Unclassified,UNCLASSIFIED,1003000000.0,NSDQ,United States
5,AAIC,Arlington Asset Investment Corp. ,Finance,REAL ESTATE,133711000.0,NYSE,United States
6,AAL,American Airlines Group Inc. ,Transportation,TRANSPORT-AIR,13630000128.0,NSDQ,United States
7,AAMC,Altisource Asset Management Corporation ,Finance,INVEST BKRS MGMT,39490000.0,NYSE,United States
8,AAME,Atlantic American Corporation ,Finance,INSURANCE,95947000.0,NSDQ,United States
9,AAN,"The Aaron's Company, Inc. ",Consumer Discretionary,OTHER CONS DISC,756611968.0,NYSE,United States
10,AAOI,"Applied Optoelectronics, Inc. ",Computer and Technology,ELECTRON-SEMI,237574000.0,NSDQ,United States
11,AAON,"AAON, Inc. ",Construction,BUILDING PRODS,4011000064.0,NSDQ,United States
12,AAP,"Advance Auto Parts, Inc. ",Retail Wholesale,NONFOOD RETAIL WH,10666999808.0,NYSE,United States
13,AAPL,Apple Inc. ,Computer and Technology,COMPUTER OFFICE EQUIP,2065000038400.0,NSDQ,United States
14,AAT,"American Assets Trust, Inc. ",Finance,REAL ESTATE,1984999936.0,NYSE,United States
15,AAU,Almaden Minerals Ltd. ,Basic Materials,METALS-NON FERR,93055000.0,NYSE,Canada
16,AAWW,"Atlas Air Worldwide Holdings, Inc. ",Transportation,TRANSPORT-AIR,1616999936.0,NSDQ,United States
17,AAXN,,,,,,
18,AB,AllianceBernstein Holding L.P. ,Finance,INVEST BKRS MGMT,3609999872.0,NYSE,United States
19,ABB,ABB Ltd ,Industrial Products,MACHINERY-ELEC,59455000576.0,NYSE,Switzerland
20,ABBV,AbbVie Inc. ,Medical,DRUGS,189566992384.0,NYSE,United States
21,ABC,AmerisourceBergen Corporation ,Medical,MED PRODS,20937000960.0,NYSE,United States
22,ABCB,Ameris Bancorp ,Finance,BANKS & THRIFTS,3342000128.0,NSDQ,United States
23,ABCL,AbCellera Biologics Inc. ,Medical,DRUGS,10485000192.0,NSDQ,
24,ABCM,Abcam plc ,Medical,MED PRODS,5302000128.0,NSDQ,
25,ABEO,Abeona Therapeutics Inc. ,Medical,DRUGS,253778000.0,NSDQ,United States
26,ABEV,Ambev S.A. ,Consumer Staples,BEVERAGES,41413001216.0,NYSE,Brazil
27,ABG,"Asbury Automotive Group, Inc. ",Retail Wholesale,NONFOOD RETAIL WH,3300999936.0,NYSE,United States
28,ABIO,"ARCA biopharma, Inc. ",Medical,DRUGS,40455000.0,NSDQ,United States
29,ABM,ABM Industries Incorporated ,Construction,CONSTRUCT BLDG SERV,2929999872.0,NYSE,United States
30,ABMD,"Abiomed, Inc. ",Medical,MED PRODS,14467000320.0,NSDQ,United States
31,ABNB,"Airbnb, Inc. ",Computer and Technology,COMPUTER SOFT SERV,114411003904.0,NSDQ,
32,ABR,"Arbor Realty Trust, Inc. ",Finance,REAL ESTATE,2084999936.0,NYSE,United States
33,ABST,Absolute Software Corporation ,Computer and Technology,COMPUTER SOFT SERV,723305024.0,NSDQ,Canada
34,ABT,Abbott Laboratories ,Medical,MED PRODS,214452994048.0,NYSE,United States
35,ABTX,"Allegiance Bancshares, Inc. ",Finance,BANKS & THRIFTS,772097984.0,NSDQ,United States
36,ABUS,Arbutus Biopharma Corporation ,Medical,DRUGS,321788992.0,NSDQ,United States
37,AC,"Associated Capital Group, Inc. ",Finance,INVEST BKRS MGMT,797406976.0,NYSE,United States
38,ACA,"Arcosa, Inc. ",Construction,BUILDING PRODS,2732999936.0,NYSE,United States
